"","x"
"1","Corynebacterium"
"2","Moraxella"
"3","Lactobacillus"
"4","Chryseobacterium"
"5","Ruminococcaceae_UCG_010"
"6","Prevotellaceae_UCG_003"
"7","Ruminococcaceae_NK4A214_group"
"8","Coprobacter"
"9","Lachnoanaerobaculum"
"10","Faecalicoccus"
"11","Knoellia"
"12","Blastococcus"
"13","Acidaminococcus"
"14","ABS_19(family)"
"15","Ruminococcaceae_UCG_004"
"16","Dielma"
"17","Shuttleworthia"
"18","Eggerthella"
"19","Granulicatella"
"20","Lachnospiraceae_ND3007_group"
"21","Lachnospiraceae_UCG_010"
